time,sample,area,experiment
0,control_00,468719.878,Control
0,control_02,499168.81,Control
0,control_03,485660.122,Control
0,control_04,473800.547,Control
0,control_05,464930.427,Control
0,test_00_00,294903.42,Vemurafenib 10µM
0,test_00_01,342903.12,Vemurafenib 10µM
0,test_00_02,288173.638,Vemurafenib 10µM
0,test_00_03,354271.47,Vemurafenib 10µM
0,test_00_04,344692.583,Vemurafenib 10µM
0,test_01_00,337141.753,Violacein 2.5µM
0,test_01_02,245731.798,Violacein 2.5µM
0,test_01_03,285212.253,Violacein 2.5µM
0,test_01_04,292384.138,Violacein 2.5µM
0,test_02_00,448993.685,Violacein 5µM
0,test_02_01,328790.927,Violacein 5µM
0,test_02_02,343275.047,Violacein 5µM
0,test_02_03,291050.812,Violacein 5µM
0,test_02_04,589203.335,Violacein 5µM
2,control_00,346839.938,Control
2,control_01,349204.835,Control
2,control_02,353829.367,Control
2,control_03,364839.825,Control
2,control_04,304292.835,Control
2,control_05,297836.735,Control
2,test_00_00,332531.255,Vemurafenib 10µM
2,test_00_01,349057.468,Vemurafenib 10µM
2,test_00_02,353527.615,Vemurafenib 10µM
2,test_00_04,344208.375,Vemurafenib 10µM
2,test_01_00,332776.867,Violacein 2.5µM
2,test_01_02,342018.915,Violacein 2.5µM
2,test_01_03,347787.3,Violacein 2.5µM
2,test_01_04,337555.785,Violacein 2.5µM
2,test_02_01,325450.597,Violacein 5µM
2,test_02_02,324973.408,Violacein 5µM
2,test_02_03,305373.53,Violacein 5µM
2,test_02_04,280335.09,Violacein 5µM
4,control_00,410144.805,Control
4,control_01,421821.925,Control
4,control_02,405281.677,Control
4,control_04,420053.515,Control
4,control_05,419695.622,Control
4,test_00_00,369829.268,Vemurafenib 10µM
4,test_00_01,395597.528,Vemurafenib 10µM
4,test_00_02,400825.565,Vemurafenib 10µM
4,test_00_03,356432.86,Vemurafenib 10µM
4,test_00_04,427527.153,Vemurafenib 10µM
4,test_01_00,342432.948,Violacein 2.5µM
4,test_01_02,361892.475,Violacein 2.5µM
4,test_01_03,336292.635,Violacein 2.5µM
4,test_01_04,321127.818,Violacein 2.5µM
4,test_02_00,352846.917,Violacein 5µM
4,test_02_01,328061.107,Violacein 5µM
4,test_02_02,252166.845,Violacein 5µM
4,test_02_03,271640.408,Violacein 5µM
4,test_02_04,275556.172,Violacein 5µM
6,control_00,447330.537,Control
6,control_01,433197.292,Control
6,control_02,410046.56,Control
6,control_03,470439.165,Control
6,control_04,449176.14,Control
6,control_05,417443.005,Control
6,test_00_00,407737.802,Vemurafenib 10µM
6,test_00_01,424860.503,Vemurafenib 10µM
6,test_00_02,418327.21,Vemurafenib 10µM
6,test_00_03,385211.628,Vemurafenib 10µM
6,test_01_00,307359.482,Violacein 2.5µM
6,test_01_02,365681.925,Violacein 2.5µM
6,test_01_03,331211.965,Violacein 2.5µM
6,test_01_04,311619.105,Violacein 2.5µM
6,test_02_01,274714.073,Violacein 5µM
6,test_02_02,272412.333,Violacein 5µM
6,test_02_03,303822.662,Violacein 5µM
6,test_02_04,276952.655,Violacein 5µM
8,control_01,468074.268,Control
8,control_02,479084.725,Control
8,control_03,469323.383,Control
8,control_04,472158.453,Control
8,test_00_00,421723.68,Vemurafenib 10µM
8,test_00_01,471611.088,Vemurafenib 10µM
8,test_00_02,458607.66,Vemurafenib 10µM
8,test_00_03,416958.797,Vemurafenib 10µM
8,test_00_04,474881.242,Vemurafenib 10µM
8,test_01_00,294475.352,Violacein 2.5µM
8,test_01_01,421464.033,Violacein 2.5µM
8,test_01_02,356264.44,Violacein 2.5µM
8,test_01_03,310622.62,Violacein 2.5µM
8,test_02_00,301064.785,Violacein 5µM
8,test_02_01,348411.857,Violacein 5µM
8,test_02_02,233570.47,Violacein 5µM
8,test_02_03,266152.722,Violacein 5µM
8,test_02_04,240258.147,Violacein 5µM
10,control_00,491681.138,Control
10,control_01,511498.557,Control
10,control_02,498628.463,Control
10,control_03,513814.333,Control
10,control_04,502523.175,Control
10,test_00_01,496586.37,Vemurafenib 10µM
10,test_00_02,473653.18,Vemurafenib 10µM
10,test_00_03,494579.365,Vemurafenib 10µM
10,test_00_04,497168.823,Vemurafenib 10µM
10,test_01_00,313738.39,Violacein 2.5µM
10,test_01_02,347387.302,Violacein 2.5µM
10,test_01_04,300341.982,Violacein 2.5µM
10,test_02_00,351682.013,Violacein 5µM
10,test_02_01,337310.172,Violacein 5µM
10,test_02_02,252700.175,Violacein 5µM
10,test_02_03,278952.643,Violacein 5µM
10,test_02_04,261865.03,Violacein 5µM
